Song,Artist,Album,Lyrics
"""Pampanga""",Gary Valenciano,"""Interactive""","

Noong araw ikaw ay pugad ng mga
Taga-ibang bansang sundalo
Bumaha ang salapi kasama
Ang lahat ng uri ng bisyo
Nguni't ang lahat nang iyan ay nawala
Sa pagsabog ng bulkan, nasalanta
Nasaan ka na

Kamusta ka Pampanga
Kamusta ka Pampanga
Kamusta ka ngayon, bayan ko
May pag-asa ba
Kamusta ka Pampanga

Tinabunan ka ng putik at bato
Subali't di ka nagpatalo
Bawat kahirapa'y may dalang lakas
Ito'y nakita ko sa iyo
Bagong buhay ay umuusbong muli
Magmula sa matibay na pananalangi't pagpupunyagi

Kamusta ka Pampanga
Kamusta ka Pampanga
Kamusta ka ngayon, bayan ko
May pag-asa na
Kamusta ka Pampanga

Sa bawat sandali bumabalik ang iyong ngiti
And dating di makatayo'y naglalakad muli
Ikaw ay himala sa panahon ng tag-hirap
Ako ay humahanga sa iyong lakas at pagsisikap

Kamusta ka Pampanga
Kamusta ka Pampanga
Kamusta ka ngayon, bayan ko
May pag-asa na
Kamusta ka Pampanga

Kamusta ka Pampanga
Kamusta ka ngayon, bayan ko
May pag-asa na
Kamusta ka...
(Misasan metung tamu)
(Nanuman ing malyari)
"
"""I Will Be Here""",Gary Valenciano,"""Revive""","

Tomorrow morning if you wake up
And the sun does not appear
I... I will be here

If in the dark we lose sight of love
Hold my hand and have no fear
'Cause I... I will be here

I will be here...
When you feel like being quiet
When you need to speak your mind
I will listen
And I will be here
When the laughter turns to crying
Through the winning and losing and trying
We'll be together
'Cause I will be here

Tomorrow morning if you wake up
And the future is unclear
I... I'll be here

Just as sure as seasons are made for change
Our lifetimes are made for years
I... I will be here

I will be here...
You can cry on my shoulder
When the mirror tells us we're older
I will hold you

And I will be here
To watch you grow in beauty
And tell you all the things you are to me
I will be here

I will be true
To the promise I have made
To you and to the
One who gave you to me
I... I will be here
And just as sure as seasons are made for change
Our lifetimes are made for years
'Cause I...
I will be here...
We'll be together
'Cause I will be here
"
"""People Need The Lord""",Gary Valenciano,"""Revive""","

Everyday they pass me by
I can see it in their eyes
Empty people filled with care
Headed who knows where
On they go through private pair
Living fear to fear
Laughter hides their silent cries
Only Jesus hears

People need the Lord
People need the Lord
At the end of broken dreams
He's the open door
People need the Lord
People need the Lord
When will they realize
People need the Lord

We are called to take His light
To a world where wrong seems right
What could be too great a cost for
Sharing life with one who's lost
Through His love our hearts can feel
All the grief they bear
They must hear the words of life
Only we can share

People need the Lord
People need the Lord
At the end of broken dreams
He's the open door
People need the Lord
When will they realize
That we must give our lives
For people need the Lord
People need the Lord
People need the Lord
"
"""Lead Me Lord""",Gary Valenciano,"""Revive""","

Lead me Lord
Lead me by the hand and help me face the rising sun
Comfort me through all the pain that life may bring
There's no other hope that I can lean upon
Lead me Lord
Lead me all my life

Walk by me
Walk by me across the lonely roads that I may face
Take my arms and let your hand show me the way
Show the way to live inside your heart
All my days, all my life

You are my light
You're the lamp upon my feet
All the time my Lord I need You there
You are my light
I cannot live alone
Let me stay by Your guiding love
All through my life
Lead me Lord

Lead me Lord
Even though at times I'd rather go along my way
Hear me take the right direction
Take Your road
Lead me Lord and never leave my side
All my days, all my life

You are my light
You're the lamp upon my feet
All the time my Lord I need You there
You are my light
I cannot live alone
Let me stay by Your guiding love
All through my life

You are my light
You're the lamp upon my feet
All the time my Lord I need You there
(You are my light)
(I just cannot live alone)
Let me stay by Your guiding love
All through my life
All through my days
So Lead me Oh Lord
Lead me Lord
"
"""We Are The Reason""",Gary Valenciano,"""Revive""","

As little children, we would dream of Christmas morn
And all our gifts and toys, we knew we'd find,
But we never realized, a baby boy one blessed night
Gave us the greatest gift of our lives.

We are the reason that He gave his life
We are the reason Jesus suffered and died,
To a world that was lost, He gave all he could give
To show us the reason to live.

As the years went by, we learned more of our gifts
And giving of ourselves and what that means,
On a dark and cloudy day, a man hung dying in the rain
Because of love, because of love, because of love...

We are the reason that He gave his life
We are the reason Jesus suffered and died,
To a world that was lost, He gave all he could give
To show us the reason to live,
To live, to live...

Everytime I see the cross
I'm reminded that He gave His life
For you and me...

We are the reason that He gave his life
We are the reason why The Lord suffered and died,
To a world that was lost, He gave all he could give
To show us the reason to live...

We are the reason but He is the reason we live
Thank you, my Jesus
Thank you, my Jesus
I thank you Lord, my Jesus
We thank you, Jesus
For God so loved the world...
(Jesus)
(Thank you)
You're worthy to be praised,
You're worthy to be praised,
The Name above all names...
"
"""I Believe""",Gary Valenciano,"""Revive""","

I believe for every drop
Of rain that falls
A flower grows
And I believe that somewhere
In the darkest night
A candle glows
I believe for everyone
Who goes astray
Someone will come
To show the way
I believe, oh I, I believe

I believe above a storm
The smallest prayer
Will still be heard
And I believe that someone
In that great somewhere
Hears every word

And every time I hear a newborn baby cry
Or touch a leaf
Or see the sky
Then I know why
I believe

(Oh, I believe)
Oh you know I believe in every word You say
(Oh, I believe)
You'll be free if you try
(I believe)
Oh, just believe and it will take you high

Every time I hear a newborn baby cry
Or touch a leaf
Or see the sky
Then I know why
I... I believe, yeah
I believe in You and every word You say
When I touch a leaf or see the sky
Then I know why I believe
Oh, I believe in You
I believe, I always will believe...
"
"""Lupa""",Gary Valenciano,"""Revive""","

Kaya't pilitin mong ika'y magbago
Habang my panahon magbago
Pagmamahal sa kapwa ay
Isipin mo't magbago

Nagmula sa lupa
Magbabalik nang kusa
Ang buhay mong sa lupa nagmula
Bago mo linisin
Ang dungis ng iyong kapwa
Hugasan mo 'yong putik sa mukha

At kung ano ang di mo gusto
'Wag gawin sa iba
Kung ano ang iyong inutang
Ay siya ring kabayaran

Sa mundo ang buhay
Ay mayro'ng hangganan
Dahil tayo ay lupa lamang

Kaya't pilitin mong ika'y magbago
Habang may panahon ika'y magbago
Pagmamahal sa kapwa ay isipin mo

Hindi pa huli ang lahat
May panahon pa para ika'y magbago
Mahalin ang iyong kapwa nang buo mong pagkatao
Iwasan ang lahat ng masamang gawain
Gumawa ka ng mabuti at ika'y pagpapalain
Huwag susuko sa 'yong mga problema
Habang ika'y may buhay may natitirang pag-asa
Matuto kang magpatawad
Huwad kang maging mayabang
Isiping sa ibabaw ng mundo tayo ay lupa lamang

At kung ano ang di mo gusto
'Wag gawin sa iba
Kung ano ang iyong inutang
Ay siya ring kabayaran

Sa mundo ang buhay
Ay mayro'ng hangganan
Dahil tayo ay lupa lamang

Kaya't pilitin mong ika'y magbago
Habang may panahon ika'y magbago
Pagmamahal sa kapwa ay isipin mo
"
"""Hindi Kita Malilimutan""",Gary Valenciano,"""Revive""","

Hindi kita malilimutan
Hindi kita pababayaan
Nakaukit magpakailanman
Sa 'king palad ang 'yong pangalan

Malilimutan ba ng ina
Ang anak na galing sa kanya
Sanggol sa kanyang sinapupunan
Paano niyang matatalikdan
Ngunit kahit na malimutan
Ng ina ang anak niyang tangan

Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di pababayaan

Malilimutan ba ng ina
Ang anak na galing sa kanya
Sanggol sa kanyang sinapupunan
Paano niyang matatalikdan
Ngunit kahit na malimutan
Ng ina ang anak niyang tangan

Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di pababayaan

Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di pababayaan
Hindi kita malilimutan
Kailanma'y di...
Kailanma'y di...
Pababayaan
"
"""More Than Wonderful""",Gary Valenciano,"""Revive""","

He promised us that He would be a counselor
A Mighty God and the Prince of Peace
He promised us that He would be a Father
And He would love us with a love that would not cease

Well, I tried Him and I found His promises are true
He's everything He said that He would be
The finest words I know could not begin to tell
Just how much Jesus really means to me

For He's more wonderful than my mind can concieve
He's more wonderful than my heart can believe
He goes beyond my highest hopes and fondest dreams
He's everything that my soul ever longed for
Everything He promised and so much more
More than amazing, more than marvelous
More than miraculous could ever be
He's more than wonderful, that's what Jesus is to me

More than wonderful to me
That's what Jesus is to me
More than wonderful to me
That's what Jesus is to me

I stand amazed when I think that the King of Glory
Would come to live within the heart of man
Oh, I marvel just to know He really loves me
When I think of who He is and who I am

For He's more wonderful than my mind can concieve
He's more wonderful than my heart can believe
He goes beyond my highest hopes and fondest dreams
He's everything that my soul ever longed for
Everything He promised and so much more
More than amazing, more than marvelous
More than miraculous could ever be
He's more than wonderful, that's what Jesus is to me

He's everything that my soul ever longed for
Everything He promised and so much more
More than amazing, more than marvelous
More than miraculous could ever be
He's more than wonderful, more than wonderful
That's what Jesus is to me
That's what Jesus is to me
That's what Jesus is to me
"
"""Warrior Is A Child""",Gary Valenciano,"""Revive""","

Lately I've been winning battles left and right
But even winners can get wounded in the fight
People say that I'm amazing
I'm strong beyond my years
But they don't see inside of me
I'm hiding all the tears

They don't know that I come running home when I fall down
They don't know who picks me up when no one is around
I drop my sword and cry for just a while
(Look up for His smile)
'Coz deep inside this armor
The warrior is a child
(Aahhh)

Unafraid because His armor is the best
But even soldiers need a quiet place to rest
People say that I'm amazing
I never face retreat, oh no
But they don't see the enemies
That lay me at His feet

They don't know that I come running home when I fall down
They don't know who picks me up when no one is around
I drop my sword and cry for just a while
(Look up for His smile)
'Coz deep inside this armor
The warrior is a child
(Aahhh)

They don't know that I come running home when I fall down
They don't know who picks me up when no one is around
I drop my sword and cry for just a while
(Look up for His smile)
'Coz deep inside this armor
The warrior is a child
(Aahhhe)
"
