Song,Artist,Album,Lyrics
"""Masdan Mo Ang Kapaligiran""",Freddie Aguilar,"""Pagbabalik Himig""","

Wala ka bang napapansin
Sa iyong mga kapaligiran
'Kay dumi na ng hangin
Pati na ang mga ilog natin

Hindi na masama ang pag-unlad
At malayu-layo na rin ang ating narating
Ngunit masdan mo ang tubig sa dagat
Dati'y kulay asul ngayo'y naging itim

Ang mga duming ating ikinalat sa hangin
Sa langit 'wag na nating paabutin
Upang kung tayo'y pumanaw man
Sariwang hangin sa langit natin matitikman

Mayro'n lang akong hinihiling
Sa aking pagpanaw sana ay tag-ulan
Gitara ko ay aking dadalhin
Upang sa ulap na lang tayo magkantahan

Ang mga batang ngayon lang isinilang
May hangin pa kayang matitikman
May mga puno pa kaya silang aakyatin
May mga ilog pa kayang lalanguyan

Bakit 'di natin pag-isipan
Ang nangyayari sa ating kapaligiran
Hindi nga masama ang pag-unlad
Kung hindi nakakasira ng kalikasan

Darating ang panahon
Mga ibong gala ay wala nang madadapuan
Masdan mo ang mga punong dati ay kay tatag
Ngayo'y namamatay dahil sa 'ting kalokohan

Lahat ng bagay na narito sa lupa
Biyayang galing sa Diyos kahit noong ika'y wala pa
Ingatan natin at 'wag nang sirain pa
'Pagkat 'pag kanyang binawi tayo'y mawawala na

Mayro'n lang akong hinihiling
Sa aking pagpanaw sana ay tag-ulan
Gitara ko ay aking dadalhin
Upang sa ulap na lang tayo magkantahan
Gitara ko ay aking dadalhin
Upang sa ulap na lang tayo magkantahan
"
"""Habol-Habol""",Freddie Aguilar,"""Pagbabalik Himig""","

O ang babae pag minamahal
May kursunada'y aayaw-ayaw
Pag panay ang dalaw ay nayayamot
'Wag mong dalawin, dadabog-dabog
'Wag mong suyuin ay nagmamaktol
Pag iyong iniwan, hahabol-habol

Bata akong nililigawan
At kung aking pinapanhik ng bahay
Nagtatago't ayaw malapitan
Kung may pag-ibig
Ay 'di mo malaman
O, ang babae pag minamahal
Maloloko ka ng husto sa buhay

O ang babae pag minamahal
May kursunada'y aayaw-ayaw
Pag panay ang dalaw ay nayayamot
Huwag mong dalawin, dadabog-dabog
Huwag mong suyuin ay nagmamaktol
Pag iyong iniwan, hahabol-habol

Bata akong nililigawan
At kung aking pinapanhik ng bahay
Nagtatago't ayaw malapitan
Kung may pag-ibig
Ay 'di mo malaman
O, ang babae pag minamahal
Maloloko ka ng husto sa buhay

O ang babae pag minamahal
May kursunada'y aayaw-ayaw
Pag panay ang dalaw ay nayayamot
Huwag mong dalawin, dadabog-dabog
Huwag mong suyuin ay nagmamaktol
Pag iyong iniwan, hahabol-habol

Mayroong bata akong nililigawan
At kung aking pinapanhik ng bahay
Nagtatago't ayaw malapitan
Kung may pag-ibig
Ay 'di mo malaman
O, ang babae pag minamahal
Maloloko ka ng husto sa buhay
Maloloko ka ng husto sa buhay

O ang babae pag minamahal
May kursunada'y aayaw-ayaw
Pag panay ang dalaw ay nayayamot
'Wag mong dalawin, dadabog-dabog
'Wag mong suyuin ay nagmamaktol
Pag iyong iniwan, hahabol-habol
'Wag mong suyuin ay nagmamaktol
Pag iyong iniwan, hahabol-habol
"
"""Ngayon At Kailanman""",Freddie Aguilar,"""Pagbabalik Himig""","

Ngayon at kailanman
Sumpa ko'y iibigin ka
Ngayon at kailanman
Hindi ka na mag-iisa
Ngayon at kailanman
Sa hirap o ginhawa pa
Asahan may kasama ka sinta
Naroroon ako t'wina
Maaasahan mo t'wina
Ngayon at kailanman

Dahil kaya sa 'yo
Nang maitadhanang ako'y isilang sa mundo
Upang sa araw-araw ay siyang makapiling mo
Upang ngayon at kailanman
Ikaw ay mapalingkuran hirang
Bakit labis kitang mahal
Pangalawa sa Maykapal
Higit sa 'king buhay

Sa bawat araw ang pag-ibig ko sa 'yo liyag
Lalong tumatamis tumitingkad
Bawat kahapon ay daig nitong bawat ngayon
Na daig ng bawat bukas

Malilimot ka lang
Kapag ang araw at bituin ay 'di na matanaw
Kapag tumigil ang daigdig at 'di 'na gumalaw
Subalit isang araw pa matapos ang mundo'y nagunaw na
Hanggang doon magwawakas pag-ibig kong sadyang wagas
Ngayon at kailanman giliw ko

Sa bawat araw ang pag-ibig ko sa 'yo liyag
Lalong tumatamis tumitingkad
Bawat kahapon ay daig nitong bawat ngayon
Na daig ng bawat bukas
Ngayon at kailanman

Bakit labis kitang mahal
Pangalawa sa Maykapal
Higit sa 'king buhay giliw ko
Sa bawat araw ang pag-ibig ko sa 'yo liyag
Lalong tumatamis tumitingkad
Bawat kahapon ay daig nitong bawat ngayon
Na daig ng bawat bukas
Ngayon at kailanman

Ikaw ang aking panauhin
Ngayon at kailanman
"
"""Kapalaran""",Freddie Aguilar,"""Pagbabalik Himig""","

Bakit ba ganyan
Ang buhay ng tao
May mayaman
May api sa mundo
Kapalaran kung hanapin
'Di matagpuan
At kung minsa'y lumalapit
Nang 'di mo alam

O bakit kaya
May ligaya't lumbay
Sa pag-ibig
May bigo't tagumpay
'Di malaman 'di maisip
Kung anong kapalaran
Sa akin ay naghihintay

O bakit kaya
May ligaya't lumbay
Sa pag-ibig
May bigo't tagumpay
'Di malaman 'di maisip
Kung anong kapalaran
Sa akin ay naghihintay

Bakit ba ganyan
Ang buhay ng tao
Mayro'ng mayaman
May api sa mundo
Kapalaran kung hanapin
'Di matagpuan
At kung minsa'y lumalapit
Nang 'di mo alam

O bakit kaya
May ligaya't lumbay
Sa pag-ibig
May bigo't tagumpay
'Di malaman 'di maisip
Kung anong kapalaran
Sa akin ay naghihintay
'Di malaman 'di maisip
Kung anong kapalaran
Sa akin ay naghihintay
"
"""Laki Sa Layaw""",Freddie Aguilar,"""Pagbabalik Himig""","

May mga taong
Lumaki sa hirap
Merong laki sa layaw puro sarap
Kung siya'y titigan mo
Akala mo kung sino
Hindi na bumababa sa kanyang trono
Lahat ng gusto niya
Ibinigay na sa kanya
Ngunit wala pa rin siyang kasiyahan
Hindi pa makuntento sa kanyang mga bisyo
Nilubog pa niya ang sarili sa putik

Kilala sa bayan
Asal ay gahaman
Malakas sa inuman istorbo sa daan
Meron pa kayang pag-asang magbago
Ang taong lumaki sa layaw

Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks

Sobra sa bigat
Hindi na mabuhat
Sobra sa tamad laging hubad
Hindi na nya mapigilan ang kanyang mga bisyo
Kaya't ang bagsak nya'y sa kalaboso

Kilala sa bayan
Asal ay gahaman
Malakas sa inuman istorbo sa daan
Meron pa kaya pag-asang magbago
Ang taong lumaki sa layaw

Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks

Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
Laki sa layaw laki sa layaw Jeproks
"
"""Dukha""",Freddie Aguilar,"""Pagbabalik Himig""","

Ako ay isang anak mahirap
Lagi na lang akong nagsusumikap
Ang buhay ko'y walang sigla
Puro na lang dusa
Paano na ngayon ang buhay ko

Sa akin ay walang tumatanggap
Mababa raw ang aking pinag-aralan
Grade one lang ang inabot ko
No read no write pa ko
Paano na ngayon ang buhay ko

Isang kahig isang tuka
Ganyan kaming mga dukha oh
Isang kahig isang tuka
Ganyan kaming mga dukha

Sa akin ay walang tumatanggap
Mababa raw ang aking pinag-aralan
Grade one lang ang inabot ko
No read no write pa ko
Paano na ngayon ang buhay ko

Isang kahig isang tuka
Ganyan kaming mga dukha oh
Isang kahig isang tuka
Ganyan kaming mga dukha

Isang kahig isang tuka
Ganyan kaming mga dukha oh
Isang kahig isang tuka
Ganyan kaming mga dukha

Dukha
Dukha
"
"""Tulungan Natin""",Freddie Aguilar,"""Pagbabalik Himig""","

Ako'y umiiwas sa away at gulo
Maraming maiinit at mahilig sa basag-ulo
Bakit kailangan pang manakit ng kapwa
Kailangan pa bang tayo'y maging siga

Kung tayo ay talagang matatapang
Bakit hindi natin harapin ang ating sarili
Sawang-sawa na tayo sa mga palabas
Hukayin naman natin ang nasa ating loob

Tulungan natin (ang mga bulag)
Tulungan natin (ang mga bingi)
Tulungan natin (ang mga ligaw)
Tulungan din natin ang ating
Ang ating sarili

Matuto na tayong gumalang sa ating sarili
Matuto na tayong umunawa ng kapwa
Tayo'y magsikap upang tayo'y umunlad
Limutin na natin ang ugaling tamad
Iwasan na natin ang ating mga ilusyon
Ikalat na natin na tayo'y isang nasyon
Kahit hindi tayo magkakakilala
Tayo'y magkakapatid at magkakasama

Tulungan natin (ang mga bulag)
Tulungan natin (ang mga bingi)
Tulungan natin (ang mga ligaw)
Tulungan din natin ang ating
Ang ating sarili

Tulungan natin (ang mga bulag)
Tulungan natin (ang mga bingi)
Tulungan natin (ang mga ligaw)
Tulungan din natin ang ating
Tulungan natin (ang mga bulag)
Tulungan natin (ang mga bingi)
Tulungan natin (ang mga ligaw)
Tulungan din natin ang ating
Tulungan natin (ang mga bulag)
Tulungan natin (ang mga bingi)
Tulungan natin (ang mga ligaw)
Tulungan din natin ang ating
Ang ating sarili
"
"""Pagbabalik""",Freddie Aguilar,"""Pagbabalik Himig""","

Sa gitna ng dilim ako ay nakatanaw
Ng ilaw na kay panglaw halos 'di ko makita
Tulungan mo ako ituro ang daan
Sapagkat ako'y sabik sa aking pinagmulan

Bayan ko nahan ka ako ngayo'y nag-iisa
Nais kong magbalik sa iyo bayan ko
Patawarin mo ako kung ako'y nagkamali
Sa landas na aking tinahak

Sa pagsibol ng araw hanggang dapit-hapon
Malamig na hangin ang aking kayakap
'Wag sanang hadlangan ang aking nilalandas
Sapagkat ako'y sabik sa aking sinilangan

Bayan ko nahan ka ako ngayo'y nag-iisa
Nais kong magbalik sa iyo bayan ko
Patawarin mo ako kung ako'y nagkamali
Sa landas na aking tinahak oh

Patawarin mo ako kung ako'y nagkamali
Sa landas na aking tinahak bayan ko
Patawarin mo ako kung ako'y nagkamali
Sa landas na aking tinahak oh
"
"""Ang Himig Natin""",Freddie Aguilar,"""Pagbabalik Himig""","

Ako'y nag-iisa
At walang kasama
'Di ko makita
Ang ating pag-asa

Ang himig natin
Ang inyong awitin
Upang tayo'y magsama-sama
Sa langit ng pag-asa

Ako'y may kaibigan
At s'ya'y nahihirapan
Handa na ba kayong lahat
Upang s'ya'y tulungan

Ang himig natin
Ang inyong awitin
Upang tayo'y magsama-sama
Sa langit ng pag-asa

Ang himig natin
Inyong awitin
Ang himig natin
Inyong awitin
Ang himig natin
Inyong awitin
Ang himig natin
Inyong awitin
Ang himig natin
Inyong awitin
Ang himig natin
Inyong awitin
Ang himig natin
"
"""Alaala""",Freddie Aguilar,No Album,"

Akin pang naaalala
Noong si Ama'y nabubuhay pa
Ang sabi niya'y, Freddie
Mag-aral kang mabuti
Tulungan mo ang 'yong sarili

Ang nais niya'y hindi nasunod
'Pagkat ako'y may dahilan
Ang nais ko'y umawit
Tumugtog ng gitara
At ako'y kanyang pinagbigyan

At kami'y nagkahiwalay
'Pagkat ako'y nangibang-bayan
At nang kami'y magkita
Siya ay bangkay na
Pumanaw na ang aking ama

Saan man siya naroroon
Mga payo niya'y tataglayin ko
Ang kanyang alaala
Ay lalagi sa isip ko
Kahit siya'y wala na

Akin pang naaalala
Noong si Ama'y nabubuhay pa
Ang sabi niya'y, Freddie
Mag-aral kang mabuti
Tulungan mo ang 'yong sarili

Tulungan mo ang 'yong sarili
Tulungan mo ang 'yong sarili
Tulungan mo ang 'yong sarili
"
