Song,Artist,Album,Lyrics
"""It Might Be You""",Erik Santos,"""This Is The Moment""","

Time, I've been passing time watching trains go by
All of my life
Lying on the sand watching seabirds fly
Wishing there could be
Someone waiting home for me
Something's telling me it might be you all of my life

Looking back as lovers go walking past all of my life
Wondering how they met and what makes it last
If I found the place would I recognize the face

Something's telling me it might be you
It's telling me it might be you
So many quiet walks to take
So many dreams to wake
And there's so much love to make

I think we're gonna need some time
Maybe all we need is time
And it's telling me it might be you
All of my life

I've been saving love songs and lullabies
And there's so much more
No one's ever heard before
Something's telling me it might be you
Yeah, it's telling me it must be you
And I'm feeling it'll just be you all of my life
I've been waiting for
All of my life

Maybe it's you, maybe it's you
I've been waiting for all of my life
Maybe it's you, maybe it's you
I've been waiting for all of my life
It's you, it's you I've been waiting for all of my life
"
"""I Believe""",Erik Santos,"""This Is The Moment""","

I believe we'll be together
And we can be one again
I believe in the end it's still you and I
'Cause you've been the best lover and friend
Deep in my heart I know that
You never meant to walk away
And I know you wanted to stay

I believe, I believe
I believe, I believe

I believe one day you'll wake-up
And you will be missing me
And I know that you will come back
Oh, come back to the one you really love
And when that day comes
I'll take you in my arms again
And never ever let you go

Deep in my heart I know that
You never meant to walk away
And I know you wanted to stay

And I believe
"
"""Bakit Ba?""",Erik Santos,"""This Is The Moment""","

Bakit pa pinagtagpo
Kung magkakalayo rin lang tayo
Bakit ba,
Bakit ba hinayaan natin na maglaho
Pangako ng puso

'Di ba't walang saysay ang buhay
Kung di mo makakasama ang iyong minamahal
'Di ba't tayo ay nagsumpaan
Na sa hirap at ginhawa ay magsasama

Nanghihinayang lang naman
Sa magandang nakaraan
Mga sandaling tayo'y nagmahalan
'Di ko makakaya na ika'y mawawala

Ngayon wala ka na
Papano na kaya liligaya
Ikaw lang, ikaw lang ang nagbigay kulay sa buhay
Mawawala ka pa

'Di ba't walang saysay ang buhay
Kung di mo makakasama ang iyong minamahal
'Di ba't tayo ay nagsumpaan
Na sa hirap at ginhawa ay magsasama

Nanghihinayang lang naman
Sa magandang nakaraan
Mga sandaling tayo'y nagmahalan
'Di ko makakaya na ika'y mawawala

Nanghihinayang lang naman
Sa magandang nakaraan
Mga sandaling tayo'y nagmahalan
'Di ko makakaya na ika'y mawawala

Nanghihinayang lang naman
Sa magandang nakaraan
Mga sandaling tayo'y nagmahalan
'Di ko makakaya na ika'y mawawala
"
"""You""",Erik Santos,"""This Is The Moment""","

The very first time I laid eyes on you
There's no day that I don't think of you
Never thought that I will be true
To this feeling that I never knew

Can't imagine myself getting this crazy
I can't believe myself
Hangin' on to this fantasy

You gave life to my dreams
Made this world real
You made me fly
Tell me why
Tell me how you made this heart beat for you
Only you made my world brand new
You brought smile to my face
Colored my days
You are the one
You are the sun, the moon, the stars
It's you that I feel (this love is real)
You're the girl of my dreams

The very first time you smiled back at me
There's no way that day's not for me
You were all I wished and adored
It's the sunshine that's knockin' at my door

Can't imagine myself getting this crazy
I can't believe myself
Hangin' on to this fantasy

You gave life to my dreams
Made this world real
You made me fly
Tell me why
Tell me how you made this heart beat for you
Only you made my world brand new
You brought smile to my face
Colored my days
You are the one
You are the sun, the moon, the stars
It's you that I feel (this love is real)
You're the girl of my dreams

You're the starlight
Shining so bright
The answer to my prayers
You're the sunshine
Please be mine
I'll give you my love

You gave life to my dreams
Made this world real
You made me fly
Tell me why
Tell me how you made this heart beat for you
Only you made my world brand new
You brought smile to my face
Colored my days
You are the one
You are the sun, the moon, the stars
It's you that I feel (this love is real)
You're the girl of my dreams
"
"""Hanggang Sa Huli""",Erik Santos,"""This Is The Moment""","

Haahhhâ¦.

Langit lang, ang may alam,
Kung bakit di tayo nagkatuluyanâ¦
Kahit na, tuna yang pagsinta,
Tadhana ang nagpasya para sa'ting dal'waâ¦.

Kung magmamahal akong muli,
Mabubuhay lang sa pagkukubliâ¦
Dahil puso ko'why sa'yo pa rin
Mananatili ito sa damdaminâ¦
Ikaw pa rin, ikaw pa rin,
Hanggang sa huliâ¦

Kung hindi ngayon, an gating panahonâ¦
Baka sa kabilang buhay mabigyan ng tugonâ¦

Heyyyâ¦ heyyyâ¦.
Oohhhhâ¦.
Woooaaahhhhâ¦.

Langit lang, langit ang may alam,
Kung bakit di tayo nagkatuluyanâ¦
At kahit na, tunay ang pagsinta,
Tadhana'ng nagpasya para sa'ting dal'waâ¦

Kung magmamahal akong muli,
Mabubuhay lang sa pagkukubliâ¦
Dahil puso ko'why sa'yo pa rin
Mananatili ito sa damdaminâ¦
Ikaw pa rin, ikaw pa rinâ¦

Kung magmamahal akong muli,
Mabubuhay lang sa pagkukubliâ¦
Dahil puso ko'why sa'yo pa rin
Mananatili ito sa damdaminâ¦
Ikaw pa rin, ikaw pa rin,
Hanggang sa huliâ¦
Wooahhhâ¦.
"
"""Medley (Ikaw Ang Lahat Sa Akin / Narito)""",Erik Santos,"""This Is The Moment""","

Ikaw ang lahat sa akin
Kahit ika'y wala sa aking piling
Isang magandang alaala
Isang kahapong lagi kong kasama

Ikaw ang lahat sa akin
Kahit ika'y 'di ko dapat ibigin
Dapat ba kitang limutin
'Pano mapipigil ang isang damdamin
Kung ang sinisigaw ikaw ang lahat sa akin

At kung hindi ngayon ang panahon
Upang ikaw ay mahalin bukas na walang hanggan
Doo'y maghihintay pa rin

Narito ang puso ko
Inaalay lamang sa 'yo
Aking pangarap kahit saglit
Ang ikaw at ako'y magkapiling
Minsan pang makita ka
Damdamin ay sumasaya
Lungkot napapawi buhay ko'y ngingiti
Sa sandaling pag-ibig mo'y makamit

Puso ko'y narito naghihintay sa pag-ibig mo
Ikaw lamang ang inaasam
Tanggapin mo ang puso ko

Hanggang matapos ang kailanman
Kahit 'di malaman o maintindihan
Kahit na masugatan ang puso
Naghihintay sa 'yo maghihintay ako

Kung hindi ngayon ang panahon
Upang ikaw ay mahalin bukas na walang hanggan
Ako'y maghihintay pa rin

Narito maghihintay pa rin
"
"""This Is The Moment""",Erik Santos,"""This Is The Moment""","

This is the moment
This is the day
When I send all my doubts and demons on their way
Every endeavor I have made ever
Is coming into play, is here and now today

This is the moment, this is the time
When the momentum and the moment are in rhyme
Give me this moment, this precious chance
I'll gather up my past and make some sense at last

This is the moment, when all I've done
When all the dreaming, scheming and screaming become one
This is the day, see it sparkle and shine
When all I've live for becomes mine

For all these years
I've face the world alone
And now the time has come
To prove to them I've made it on my own

This is the moment, My final test
Destiny beckoned, I never reckoned second best
I won't look down, I must not fall
This is the moment, the sweetest moment of them all

This is the moment, damn all the odds
This day or never, I'll sit forever with the Gods
When I look back, I will always recall
Moment for moment
This was the moment
The greatest moment
Of them all
"
"""I Will Never Leave You""",Erik Santos,"""Loving You Now""","

You are safe here in my arms
Never fear I'll be beside you
Feel my love, touching your soul
Holding you close as I whisper to you

I will never leave you hold on tight
Promise to stay forever by your side
I will never leave you promise I'll
Stay forever I will never leave you behind

Stay with me and you will see
I will be the one you've been dreamin'
I won't hurt the heart that you've given me
You'll never be wounded in my arms I promise

I will never leave you hold on tight
Promise to stay forever by your side
And I will always love you promise I'll
Stay forever I will never leave you behind

And every moment, every minute, every hour of my life
I intend to live my whole life with you
I will be your home and you'll be safe forever in my arms
And we'll make it through

I will never leave you hold on tight
Promise to stay forever by your side
I will never leave you promise I'll
Stay forever I will never leave you behind...

(Hold on tight promise to stay forever by your side)
I'll be with you... Whenever, wherever, whenever...
(And I will never leave you promise I'll)
Promise I'll stay forever
I will never leave you behind...

You are safe here in my arms
'Cause I will never leave you
Leave you behind...
"
"""Goodbye's Not Forever""",Erik Santos,"""Loving You Now""","

I never knew our love would end this way
I though this love could make it to forever
You said goodbye and you left me all alone
How can I live without your love
How can I carry on

Baby, I need your love
I wish you were here to stay
Cause here I am, please love me again
Bring back our hearts together
Don't let this love of mine
Keep longing for all the time
When you and I
Can build a dream forever

I asked myself why you turned and walked away
Please tell me how so that I can make you stay
But you said goodbye and you left me all alone
How can I live without your love
How can I carry on

Baby, I need your love
I wish you were here to stay
Cause here I am, please love me again
Bring back our hearts together
Don't let this love of mine
Keep longing for all the time
When you and I
Can build a dream forever

Baby, I need your love
I wish you were here to stay
Cause here I am, please love me again
Bring back our hearts together
Don't let this love of mine
Keep longing for all the time
When you and I
Can build a dream forever

When you and I can share the love forever
"
"""Bakit Ba Iniibig Ka""",Erik Santos,"""Loving You Now""","

Ang sabi mo sa akin tayong dalawa'y magmamahalan lagi
Ang sabi mo sa akin tayo'y magtatagal
Tunay ang iyong pagmamahal
Ngunit ang lahat ng iyong pangako
Hindi makatotohanan kahit ito'y ating inaasam

Bakit ba inibig ka ang puso ko ngayo'y nangangamba
Kung ika'y nararapat ko pang tanggapin
Bakit ba hindi ko magawang iwasan ang iyong tingin
Ngayon ang puso mo'y mayro'ng umaangkin

Dapat bang pigilin ang nadarama kahit tayo'y laging nagkikita
Wag na tayong umasa sa pag-ibig na ito, masasaktan lamang tayo
Pagkat an gating mga pangarap, hindi mangyayari habang sati'y may nagmamay-ari

Bakit ba inibig ka ang puso ko ngayo'y nangangamba
Kung ika'y nararapat ko pang tanggapin
Bakit ba hindi ko magawang iwasan ang iyong tingin
Ngayon ang puso mo'y mayro'ng umaangkin

Hindi ko kaya ang mawala ka
Hindi ko kaya ang mag-isa
Tulungan mo akong malimot ka
Pagkat hindi na dapat pang ibigin ka

Bakit ba inibig ka ang puso ko ngayo'y nangangamba
Kung ika'y nararapat ko pang tanggapin
Bakit ba hindi ko magawang iwasan ang iyong tingin
Ngayon ang puso mo'y mayro'ng umaangkin
"
